GOLD,id,BRONZE,SILVER,PLATINUM,PURCHASED,collection_id
228,1011177,78,138,348,Silver,v_quotes
221,1014131,81,137,333,Silver,v_quotes
216,1010052,76,132,328,Silver,v_quotes
220,1017829,70,130,340,Silver,v_quotes
103,101670,38,64,155,Silver,v_quotes
206,1014367,66,122,318,Silver,v_quotes
220,1012592,70,130,340,Silver,v_quotes
214,1013199,74,130,326,Silver,v_quotes
211,1016183,71,127,323,Silver,v_quotes
228,1013877,78,138,348,Silver,v_quotes
230,1017984,80,140,350,Silver,v_quotes
220,1011435,70,130,340,Silver,v_quotes
225,1017299,75,135,345,Silver,v_quotes
221,1019764,81,137,333,Silver,v_quotes
228,1014722,78,138,348,Silver,v_quotes
230,1013356,80,140,350,Silver,v_quotes
220,1015726,70,130,340,Silver,v_quotes
225,1013570,75,135,345,Silver,v_quotes
235,1011085,85,145,355,Silver,v_quotes
240,1014987,90,150,360,Silver,v_quotes
230,1013386,80,140,350,Silver,v_quotes
240,1019443,90,150,360,Silver,v_quotes
230,1013789,80,140,350,Silver,v_quotes
243,1012809,93,153,363,Silver,v_quotes
214,1014072,74,130,326,Silver,v_quotes
230,1018316,80,140,350,Silver,v_quotes
243,1011355,93,153,363,Silver,v_quotes
230,1019320,80,140,350,Silver,v_quotes
225,1016116,75,135,345,Silver,v_quotes
98,101991,33,59,150,Silver,v_quotes
250,1019479,100,160,370,Silver,v_quotes
251,1017931,101,161,371,Silver,v_quotes
108,101482,43,69,160,Silver,v_quotes
230,1017777,80,140,350,Silver,v_quotes
225,1014387,75,135,345,Silver,v_quotes
223,1016598,73,133,343,Silver,v_quotes
230,1010620,80,140,350,Silver,v_quotes
209,1014365,69,125,321,Silver,v_quotes
246,1011825,106,162,358,Silver,v_quotes
250,1018343,100,160,370,Silver,v_quotes
230,1011170,80,140,350,Silver,v_quotes
214,1018821,74,130,326,Silver,v_quotes
223,1011666,73,133,343,Silver,v_quotes
220,1016179,70,130,340,Silver,v_quotes
221,1017594,81,137,333,Silver,v_quotes
230,1017364,80,140,350,Silver,v_quotes
225,1015065,75,135,345,Silver,v_quotes
96,101895,31,57,148,Silver,v_quotes
228,1010784,78,138,348,Silver,v_quotes
235,1016601,85,145,355,Silver,v_quotes
220,1015856,70,130,340,Silver,v_quotes
225,1019092,75,135,345,Silver,v_quotes
228,1019964,78,138,348,Silver,v_quotes
230,1014169,80,140,350,Silver,v_quotes
111,101510,46,72,163,Silver,v_quotes
206,1018414,66,122,318,Silver,v_quotes
216,1018164,76,132,328,Silver,v_quotes
240,1012385,90,150,360,Silver,v_quotes
220,1015226,70,130,340,Silver,v_quotes
250,1014641,100,160,370,Silver,v_quotes
246,1013846,106,162,358,Silver,v_quotes
122,101837,57,83,174,Silver,v_quotes
230,1015459,80,140,350,Silver,v_quotes
228,1013954,78,138,348,Silver,v_quotes
228,1017276,78,138,348,Silver,v_quotes
240,1016887,90,150,360,Silver,v_quotes
221,1010959,81,137,333,Silver,v_quotes
211,1017550,71,127,323,Silver,v_quotes
230,1019179,80,140,350,Silver,v_quotes
235,1018330,85,145,355,Silver,v_quotes
220,1011204,70,130,340,Silver,v_quotes
235,1018984,85,145,355,Silver,v_quotes
206,1013149,66,122,318,Silver,v_quotes
230,1010275,80,140,350,Silver,v_quotes
223,1018525,73,133,343,Silver,v_quotes
243,1011531,93,153,363,Silver,v_quotes
206,1017025,66,122,318,Silver,v_quotes
228,1015355,78,138,348,Silver,v_quotes
96,101152,31,57,148,Silver,v_quotes
142,101245,77,103,194,Silver,v_quotes
220,1015614,70,130,340,Silver,v_quotes
250,1012199,100,160,370,Silver,v_quotes
220,1014121,70,130,340,Silver,v_quotes
230,1011539,80,140,350,Silver,v_quotes
96,101695,31,57,148,Silver,v_quotes
220,1012702,70,130,340,Silver,v_quotes
220,1014618,70,130,340,Silver,v_quotes
233,1011863,83,143,353,Silver,v_quotes
221,1017373,81,137,333,Silver,v_quotes
225,1015954,75,135,345,Silver,v_quotes
206,1010095,66,122,318,Silver,v_quotes
103,101635,38,64,155,Silver,v_quotes
220,1016749,70,130,340,Silver,v_quotes
214,1012585,74,130,326,Silver,v_quotes
216,1018462,76,132,328,Silver,v_quotes
235,1018894,85,145,355,Silver,v_quotes
230,1011004,80,140,350,Silver,v_quotes
228,1012154,78,138,348,Silver,v_quotes
142,101605,77,103,194,Silver,v_quotes
236,1010381,96,152,348,Silver,v_quotes
111,101445,46,72,163,Silver,v_quotes
225,1019720,75,135,345,Silver,v_quotes
112,10112,62,82,152,Silver,v_quotes
206,1015689,66,122,318,Silver,v_quotes
240,1017908,90,150,360,Silver,v_quotes
220,1015084,70,130,340,Silver,v_quotes
230,1018527,80,140,350,Silver,v_quotes
225,1010698,75,135,345,Silver,v_quotes
225,1013580,75,135,345,Silver,v_quotes
220,1012737,70,130,340,Silver,v_quotes
235,1012944,85,145,355,Silver,v_quotes
230,1016477,80,140,350,Silver,v_quotes
220,1014348,70,130,340,Silver,v_quotes
228,1012216,78,138,348,Silver,v_quotes
246,1018191,106,162,358,Silver,v_quotes
230,1010146,80,140,350,Silver,v_quotes
116,101904,51,77,168,Silver,v_quotes
206,1013159,66,122,318,Silver,v_quotes
230,1012025,80,140,350,Silver,v_quotes
209,1019861,69,125,321,Silver,v_quotes
230,1019073,80,140,350,Silver,v_quotes
220,1016850,70,130,340,Silver,v_quotes
235,1012588,85,145,355,Silver,v_quotes
223,1016447,73,133,343,Silver,v_quotes
220,1011187,70,130,340,Silver,v_quotes
220,1013111,70,130,340,Silver,v_quotes
119,101032,54,80,171,Silver,v_quotes
220,1012328,70,130,340,Silver,v_quotes
220,1010037,70,130,340,Silver,v_quotes
230,1017414,80,140,350,Silver,v_quotes
214,1019645,74,130,326,Silver,v_quotes
220,1019385,70,130,340,Silver,v_quotes
228,1010975,78,138,348,Silver,v_quotes
250,1017858,100,160,370,Silver,v_quotes
204,1012966,64,120,316,Silver,v_quotes
225,1013790,75,135,345,Silver,v_quotes
230,1014923,80,140,350,Silver,v_quotes
228,1014651,78,138,348,Silver,v_quotes
225,1010880,75,135,345,Silver,v_quotes
225,1017842,75,135,345,Silver,v_quotes
225,1014421,75,135,345,Silver,v_quotes
244,1014740,94,154,364,Silver,v_quotes
236,1010471,96,152,348,Silver,v_quotes
226,1013922,86,142,338,Silver,v_quotes
250,1017005,100,160,370,Silver,v_quotes
112,101639,47,73,164,Silver,v_quotes
225,1019052,75,135,345,Silver,v_quotes
233,1011439,83,143,353,Silver,v_quotes
240,1017336,90,150,360,Silver,v_quotes
221,1019219,81,137,333,Silver,v_quotes
228,1018407,78,138,348,Silver,v_quotes
206,1010874,66,122,318,Silver,v_quotes
220,1016220,70,130,340,Silver,v_quotes
246,1010541,106,162,358,Silver,v_quotes
222,1017826,82,138,334,Silver,v_quotes
240,1017985,90,150,360,Silver,v_quotes
230,1012653,80,140,350,Silver,v_quotes
226,1013259,86,142,338,Silver,v_quotes
228,1017099,78,138,348,Silver,v_quotes
206,1019098,66,122,318,Silver,v_quotes
215,1016934,65,125,335,Silver,v_quotes
216,1015147,76,132,328,Silver,v_quotes
220,1011550,70,130,340,Silver,v_quotes
103,101300,38,64,155,Silver,v_quotes
228,1014882,78,138,348,Silver,v_quotes
235,1014592,85,145,355,Silver,v_quotes
223,1012465,73,133,343,Silver,v_quotes
72,10131,22,42,112,Silver,v_quotes
225,1011380,75,135,345,Silver,v_quotes
250,1014968,100,160,370,Silver,v_quotes
206,1012200,66,122,318,Silver,v_quotes
206,1013850,66,122,318,Silver,v_quotes
230,1015153,80,140,350,Silver,v_quotes
223,1013647,73,133,343,Silver,v_quotes
223,1017683,73,133,343,Silver,v_quotes
223,1018453,73,133,343,Silver,v_quotes
225,1011660,75,135,345,Silver,v_quotes
230,1018005,80,140,350,Silver,v_quotes
225,1013979,75,135,345,Silver,v_quotes
225,1012393,75,135,345,Silver,v_quotes
220,1015579,70,130,340,Silver,v_quotes
220,1017139,70,130,340,Silver,v_quotes
223,1019240,73,133,343,Silver,v_quotes
118,101022,53,79,170,Silver,v_quotes
211,1017516,71,127,323,Silver,v_quotes
220,1011237,70,130,340,Silver,v_quotes
101,101772,36,62,153,Silver,v_quotes
240,1018709,90,150,360,Silver,v_quotes
225,1010255,75,135,345,Silver,v_quotes
211,1015840,71,127,323,Silver,v_quotes
222,1013293,82,138,334,Silver,v_quotes
216,1013483,76,132,328,Silver,v_quotes
230,1010587,80,140,350,Silver,v_quotes
228,1015427,78,138,348,Silver,v_quotes
228,1016831,78,138,348,Silver,v_quotes
250,1018892,100,160,370,Silver,v_quotes
220,1016913,70,130,340,Silver,v_quotes
96,101990,31,57,148,Silver,v_quotes
225,1018951,75,135,345,Silver,v_quotes
216,1011965,76,132,328,Silver,v_quotes
220,1010227,70,130,340,Silver,v_quotes
214,1015960,74,130,326,Silver,v_quotes
225,1016543,75,135,345,Silver,v_quotes
220,1010873,70,130,340,Silver,v_quotes
260,1015821,110,170,380,Silver,v_quotes
230,1019687,80,140,350,Silver,v_quotes
220,1014329,70,130,340,Silver,v_quotes
221,1010619,81,137,333,Silver,v_quotes
228,1017140,78,138,348,Silver,v_quotes
96,101060,31,57,148,Silver,v_quotes
220,1016930,70,130,340,Silver,v_quotes
206,1019319,66,122,318,Silver,v_quotes
216,1012887,76,132,328,Silver,v_quotes
246,1011852,106,162,358,Silver,v_quotes
225,1014351,75,135,345,Silver,v_quotes
220,1016265,70,130,340,Silver,v_quotes
250,1011689,100,160,370,Silver,v_quotes
240,1018870,90,150,360,Silver,v_quotes
214,1015666,74,130,326,Silver,v_quotes
223,1010201,73,133,343,Silver,v_quotes
228,1019824,78,138,348,Silver,v_quotes
127,101612,62,88,179,Silver,v_quotes
256,1013662,106,166,376,Silver,v_quotes
235,1015591,85,145,355,Silver,v_quotes
206,1010735,66,122,318,Silver,v_quotes
228,1013347,78,138,348,Silver,v_quotes
230,1016363,80,140,350,Silver,v_quotes
260,1017845,110,170,380,Silver,v_quotes
228,1013204,78,138,348,Silver,v_quotes
220,1019099,70,130,340,Silver,v_quotes
220,1019573,70,130,340,Silver,v_quotes
236,1012631,96,152,348,Silver,v_quotes
225,1014102,75,135,345,Silver,v_quotes
112,101306,47,73,164,Silver,v_quotes
206,1011398,66,122,318,Silver,v_quotes
96,101289,31,57,148,Silver,v_quotes
235,1012439,85,145,355,Silver,v_quotes
216,1015823,76,132,328,Silver,v_quotes
229,1016785,89,145,341,Silver,v_quotes
250,1011054,100,160,370,Silver,v_quotes
223,1019747,73,133,343,Silver,v_quotes
250,1015173,100,160,370,Silver,v_quotes
225,1014703,75,135,345,Silver,v_quotes
106,101946,41,67,158,Silver,v_quotes
230,1018377,80,140,350,Silver,v_quotes
225,1018606,75,135,345,Silver,v_quotes
221,1011848,81,137,333,Silver,v_quotes
209,1013868,69,125,321,Silver,v_quotes
228,1011189,78,138,348,Silver,v_quotes
250,1016309,100,160,370,Silver,v_quotes
87,10145,32,54,131,Silver,v_quotes
211,1017215,71,127,323,Silver,v_quotes
228,1017918,78,138,348,Silver,v_quotes
112,101114,47,73,164,Silver,v_quotes
228,1015126,78,138,348,Silver,v_quotes
243,1012954,93,153,363,Silver,v_quotes
240,1017046,90,150,360,Silver,v_quotes
260,1011084,110,170,380,Silver,v_quotes
216,1016381,76,132,328,Silver,v_quotes
211,1018837,71,127,323,Silver,v_quotes
216,1011596,76,132,328,Silver,v_quotes
260,1014957,110,170,380,Silver,v_quotes
206,1010644,66,122,318,Silver,v_quotes
114,101454,49,75,166,Silver,v_quotes
206,1012083,66,122,318,Silver,v_quotes
228,1012455,78,138,348,Silver,v_quotes
243,1013638,93,153,363,Silver,v_quotes
240,1019196,90,150,360,Silver,v_quotes
220,1016535,70,130,340,Silver,v_quotes
223,1014122,73,133,343,Silver,v_quotes
250,1015874,100,160,370,Silver,v_quotes
230,1012133,80,140,350,Silver,v_quotes
225,1010581,75,135,345,Silver,v_quotes
236,1011553,96,152,348,Silver,v_quotes
230,1013530,80,140,350,Silver,v_quotes
220,1013326,70,130,340,Silver,v_quotes
220,1010256,70,130,340,Silver,v_quotes
220,1019685,70,130,340,Silver,v_quotes
98,101671,33,59,150,Silver,v_quotes
223,1011294,73,133,343,Silver,v_quotes
228,1014022,78,138,348,Silver,v_quotes
225,1019509,75,135,345,Silver,v_quotes
223,1016991,73,133,343,Silver,v_quotes
243,1019745,93,153,363,Silver,v_quotes
230,1016861,80,140,350,Silver,v_quotes
235,1011704,85,145,355,Silver,v_quotes
230,1012610,80,140,350,Silver,v_quotes
220,1010891,70,130,340,Silver,v_quotes
230,1017413,80,140,350,Silver,v_quotes
223,1017330,73,133,343,Silver,v_quotes
214,1012946,74,130,326,Silver,v_quotes
230,1014623,80,140,350,Silver,v_quotes
235,1011955,85,145,355,Silver,v_quotes
235,1014550,85,145,355,Silver,v_quotes
250,1013082,100,160,370,Silver,v_quotes
211,1011101,71,127,323,Silver,v_quotes
262,1017786,122,178,374,Silver,v_quotes
220,1013331,70,130,340,Silver,v_quotes
230,1012710,90,146,342,Silver,v_quotes
230,1016696,80,140,350,Silver,v_quotes
122,101226,57,83,174,Silver,v_quotes
220,1017448,70,130,340,Silver,v_quotes
220,1017772,70,130,340,Silver,v_quotes
228,1012168,78,138,348,Silver,v_quotes
236,1019704,96,152,348,Silver,v_quotes
106,101906,41,67,158,Silver,v_quotes
221,1016573,81,137,333,Silver,v_quotes
260,1017731,110,170,380,Silver,v_quotes
250,1011583,100,160,370,Silver,v_quotes
114,101187,49,75,166,Silver,v_quotes
206,1019293,66,122,318,Silver,v_quotes
230,1016876,80,140,350,Silver,v_quotes
230,1015605,80,140,350,Silver,v_quotes
225,1011765,75,135,345,Silver,v_quotes
214,1012703,74,130,326,Silver,v_quotes
230,1018771,80,140,350,Silver,v_quotes
101,101370,36,62,153,Silver,v_quotes
221,1013132,81,137,333,Silver,v_quotes
230,1016400,80,140,350,Silver,v_quotes
223,1016312,73,133,343,Silver,v_quotes
228,1014184,78,138,348,Silver,v_quotes
134,101156,69,95,186,Silver,v_quotes
220,1014451,70,130,340,Silver,v_quotes
250,1011325,100,160,370,Silver,v_quotes
250,1018158,100,160,370,Silver,v_quotes
211,1010554,71,127,323,Silver,v_quotes
235,1018795,85,145,355,Silver,v_quotes
220,1012320,70,130,340,Silver,v_quotes
240,1010755,90,150,360,Silver,v_quotes
209,1017479,69,125,321,Silver,v_quotes
220,1015034,70,130,340,Silver,v_quotes
216,1013438,76,132,328,Silver,v_quotes
228,1018549,78,138,348,Silver,v_quotes
260,1019864,110,170,380,Silver,v_quotes
220,1016406,70,130,340,Silver,v_quotes
206,1011056,66,122,318,Silver,v_quotes
225,1018370,75,135,345,Silver,v_quotes
235,1015187,85,145,355,Silver,v_quotes
223,1015519,73,133,343,Silver,v_quotes
230,1017863,80,140,350,Silver,v_quotes
80,10119,30,50,120,Silver,v_quotes
235,1013611,85,145,355,Silver,v_quotes
220,1013814,70,130,340,Silver,v_quotes
216,1012872,76,132,328,Silver,v_quotes
230,1016997,80,140,350,Silver,v_quotes
230,1014316,80,140,350,Silver,v_quotes
228,1015992,78,138,348,Silver,v_quotes
240,1019336,90,150,360,Silver,v_quotes
228,1010270,78,138,348,Silver,v_quotes
206,1010754,66,122,318,Silver,v_quotes
225,1016223,75,135,345,Silver,v_quotes
223,1011517,73,133,343,Silver,v_quotes
228,1016804,78,138,348,Silver,v_quotes
223,1014717,73,133,343,Silver,v_quotes
216,1015962,76,132,328,Silver,v_quotes
230,1016147,80,140,350,Silver,v_quotes
220,1011048,70,130,340,Silver,v_quotes
228,1019537,78,138,348,Silver,v_quotes
117,101885,52,78,169,Silver,v_quotes
220,1010808,70,130,340,Silver,v_quotes
206,1013304,66,122,318,Silver,v_quotes
216,1013711,76,132,328,Silver,v_quotes
243,1012544,93,153,363,Silver,v_quotes
216,1012084,76,132,328,Silver,v_quotes
228,1018188,78,138,348,Silver,v_quotes
225,1011830,75,135,345,Silver,v_quotes
220,1014081,70,130,340,Silver,v_quotes
240,1010647,90,150,360,Silver,v_quotes
206,1012220,66,122,318,Silver,v_quotes
220,1012463,70,130,340,Silver,v_quotes
226,1016540,86,142,338,Silver,v_quotes
225,1017007,75,135,345,Silver,v_quotes
220,1011563,70,130,340,Silver,v_quotes
243,1010078,93,153,363,Silver,v_quotes
230,1014095,80,140,350,Silver,v_quotes
223,1016938,73,133,343,Silver,v_quotes
228,1018248,78,138,348,Silver,v_quotes
209,1017637,69,125,321,Silver,v_quotes
230,1013112,80,140,350,Silver,v_quotes
228,1013349,78,138,348,Silver,v_quotes
220,1019973,70,130,340,Silver,v_quotes
225,1015394,75,135,345,Silver,v_quotes
220,1017256,70,130,340,Silver,v_quotes
230,1017397,80,140,350,Silver,v_quotes
111,101597,46,72,163,Silver,v_quotes
220,1015826,70,130,340,Silver,v_quotes
228,1016648,78,138,348,Silver,v_quotes
223,1017770,73,133,343,Silver,v_quotes
214,1012130,74,130,326,Silver,v_quotes
220,1019700,70,130,340,Silver,v_quotes
229,1011190,89,145,341,Silver,v_quotes
230,1014972,80,140,350,Silver,v_quotes
220,1012354,70,130,340,Silver,v_quotes
240,1016303,90,150,360,Silver,v_quotes
229,1015883,89,145,341,Silver,v_quotes
230,1010520,80,140,350,Silver,v_quotes
230,1016585,80,140,350,Silver,v_quotes
235,1011994,85,145,355,Silver,v_quotes
209,1013960,69,125,321,Silver,v_quotes
225,1014749,75,135,345,Silver,v_quotes
228,1019394,78,138,348,Silver,v_quotes
228,1011063,78,138,348,Silver,v_quotes
228,1018573,78,138,348,Silver,v_quotes
206,1011267,66,122,318,Silver,v_quotes
223,1018041,73,133,343,Silver,v_quotes
230,1019312,80,140,350,Silver,v_quotes
235,1011365,85,145,355,Silver,v_quotes
225,1017353,75,135,345,Silver,v_quotes
223,1013084,73,133,343,Silver,v_quotes
225,1015108,75,135,345,Silver,v_quotes
243,1019036,93,153,363,Silver,v_quotes
228,1012970,78,138,348,Silver,v_quotes
216,1014269,76,132,328,Silver,v_quotes
245,1014967,95,155,365,Silver,v_quotes
127,101860,62,88,179,Silver,v_quotes
206,1016288,66,122,318,Silver,v_quotes
98,101971,33,59,150,Silver,v_quotes
240,1018542,90,150,360,Silver,v_quotes
220,1013051,70,130,340,Silver,v_quotes
214,1017346,74,130,326,Silver,v_quotes
220,1012677,70,130,340,Silver,v_quotes
126,101297,61,87,178,Silver,v_quotes
117,101000,52,78,169,Silver,v_quotes
225,1011034,75,135,345,Silver,v_quotes
223,1010106,73,133,343,Silver,v_quotes
223,1016060,73,133,343,Silver,v_quotes
243,1016632,93,153,363,Silver,v_quotes
225,1019988,75,135,345,Silver,v_quotes
240,1014012,90,150,360,Silver,v_quotes
240,1016316,90,150,360,Silver,v_quotes
225,1018376,75,135,345,Silver,v_quotes
230,1013059,80,140,350,Silver,v_quotes
225,1013564,75,135,345,Silver,v_quotes
211,1015269,71,127,323,Silver,v_quotes
225,1015455,75,135,345,Silver,v_quotes
230,1014568,80,140,350,Silver,v_quotes
230,1016843,80,140,350,Silver,v_quotes
214,1010584,74,130,326,Silver,v_quotes
228,1013439,78,138,348,Silver,v_quotes
209,1015842,69,125,321,Silver,v_quotes
214,1018766,74,130,326,Silver,v_quotes
230,1013366,80,140,350,Silver,v_quotes
211,1016390,71,127,323,Silver,v_quotes
243,1019630,93,153,363,Silver,v_quotes
220,1017848,70,130,340,Silver,v_quotes
230,1010467,80,140,350,Silver,v_quotes
228,1018154,78,138,348,Silver,v_quotes
209,1012014,69,125,321,Silver,v_quotes
216,1010848,76,132,328,Silver,v_quotes
223,1017434,73,133,343,Silver,v_quotes
223,1010538,73,133,343,Silver,v_quotes
235,1019661,85,145,355,Silver,v_quotes
228,1012330,78,138,348,Silver,v_quotes
225,1013345,75,135,345,Silver,v_quotes
225,1014412,75,135,345,Silver,v_quotes
229,1010705,89,145,341,Silver,v_quotes
225,1015651,75,135,345,Silver,v_quotes
206,1010779,66,122,318,Silver,v_quotes
225,1011966,75,135,345,Silver,v_quotes
228,1010413,78,138,348,Silver,v_quotes
220,1018132,70,130,340,Silver,v_quotes
236,1019301,96,152,348,Silver,v_quotes
228,1015118,78,138,348,Silver,v_quotes
